variable,index,name,exclude,min,max,color_min,color_max,color_num,order,annual,human_translate,colors,labels,left_label,right_label,middle_label
NET WORTH OF HOUSEHOLD ACCORDING TO PARENT,0,Household net worth (as a kid),,0,200000,5000,140000,5,1,-1,,"[""pink"",""red"",""orange"",""lightpurple"",""blackpurple""]","[""$5k or less"",""$5k to $50k"",""$50k to $95k"",""$95k to $140k"",""$140k+""]",Less household net worth,More household net worth,
RS RELATIONSHIP TO HOUSEHOLD PARENT FIGURE,1,Parental situation,,1,9,1,6,6,1,-1,1,"[""blackpurple"",""lightpurple"",""lightpurple"",""red"",""red"",""pink""]","[""Both bio parents"",""Two parents (bio mom)"",""Two parents (bio dad)"",""Bio mom only"",""Bio dad only"",""Other""]",Both bio parents,No bio parents involved,
AGE OF BIO MOTHER WHEN R BORN,2,Age of bio mom at birth,,18,38,22,30,4,1,-1,,"[""pink"", ""orange"", ""lightpurple"", ""blackpurple""]","[""<22"",""22-25"",""26-29"",""30+""]",Younger,Older,
RESIDENTIAL MOTHERS HIGHEST GRADE COMPLETED,3,Mom's education,,8,20,12,16,3,1,-1,1,"[""pink"",""lightpurple"",""blackpurple""]","[""HS or less"",""Some college"",""College or more""]",Lower edu. attainment,Higher edu. attainment,
RESIDENTIAL FATHERS HIGHEST GRADE COMPLETED,4,Dad's education,,8,20,12,16,3,1,-1,1,"[""pink"",""lightpurple"",""blackpurple""]","[""HS or less"",""Some college"",""College or more""]",Lower edu. attainment,Higher edu. attainment,
KEY!RACE_ETHNICITY,5,Ethnicity,1,1,4,1,4,4,1,-1,1,,,Less,More,
KEY!RACE,6,Race2,1,0,5,0,5,6,1,-1,1,,,Less,More,
KEY!SEX,7,Sex,,1,2,1,2,2,1,-1,1,"[""blackpurple"",""pink""]","[""Male"",""Female""]",Male,Female,
AGE OF FIRST DATE (SUMMARY),8,Age of first date,,10,21,12,18,5,1,-1,,"[""pink"", ""red"", ""orange"", ""lightpurple"", ""blackpurple""]","[""<12"",""12-13"",""14-15"",""16-17"",""18+""]",Younger,Older,
AGE OF FIRST SEX (SUMMARY),9,Age of first sex,,10,21,14,22,4,1,-1,,"[""pink"",""orange"",""lightpurple"",""blackpurple""]","[""<14"",""14-17"",""18-21"",""22+""]",Younger,Older,
cohabitation,10,Age of first cohabitation,,20,31,22,30,4,1,-1,,"[""pink"",""orange"",""lightpurple"",""blackpurple""]","[""<22"",""22-25"",""26-29"",""30+""]",Younger,Older,
marriage,11,Age of first marriage,,20,40,22,30,4,1,-1,,"[""pink"",""orange"",""lightpurple"",""blackpurple""]","[""<22"",""22-25"",""26-29"",""30+""]",Younger,Older,
R OPTIMISTIC ABOUT FUTURE (AGREE/DISAGREE),12,Optimistic about future? (in 1997),,1,4,1,4,4,1,-1,1,"[""pink"",""red"",""lightpurple"",""blackpurple""]","[""Strongly disagree"",""Disagree"",""Agree"",""Strongly agree""]",Less optimistic,More optimistic,
TRANS CRD GPA ENG,13,HS English GPA,,0,3,2,3,3,1,-1,,"[""pink"",""lightpurple"",  ""blackpurple""]","[""<2.0"",""2.0-3.0"", ""3.0+""]",Lower GPA,Higher GPA,
